filename,source_split,proposed_split,group_id,issue_types,target_classes,evidence,worker_remediated_boxes,worker_review_status,qa_overlay_path,human_qa_verdict,human_qa_notes
image1205.jpg,test,train,grp_negatives_1117_1356,unboxed_object,person,"3 seated officials labeled person, no_helmet, none; 4th seated person is unboxed",4 boxes (person:4),WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/train/image1205_qa.jpg,PENDING_HUMAN_QA,
image207.jpg,test,test,grp_scene_0207,duplicate_annotation,person,Duplicate overlapping Person (6) bounding boxes on single individual traffic guard,"3 boxes (person:1, helmet:1, vest:1)",WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/test/image207_qa.jpg,PENDING_HUMAN_QA,
image502.jpg,test,train,grp_rooftop_a,missing_annotation,person,"Rooftop worker rotated diagonally missing Person (6) entirely; helmet, vest, boots labeled","3 boxes (person:1, helmet:1, vest:1)",WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/train/image502_qa.jpg,PENDING_HUMAN_QA,
image538.jpg,test,test,grp_russian_railway,missing_annotation,person,5 railway trainees dancing outdoors missing Person (6) entirely; vests and helmets labeled,"12 boxes (person:4, helmet:4, vest:4)",WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/test/image538_qa.jpg,PENDING_HUMAN_QA,
image714.jpeg,test,train,grp_scene_0714,missing_annotation,person,Worker cutting aluminum framing missing Person (6) entirely; vest labeled,"2 boxes (person:1, vest:1)",WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/train/image714_qa.jpg,PENDING_HUMAN_QA,
image805.jpg,test,test,grp_deck_workers,missing_annotation; misclassified,person; vest,2 concrete workers on deck missing Person (6) entirely; Full-body orange work coverall/jumpsuit mislabeled as safety vest (class 2),"4 boxes (person:2, helmet:2)",WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/test/image805_qa.jpg,PENDING_HUMAN_QA,
image810.jpg,test,test,grp_rebar_work,missing_annotation,person,"Ironworker bending over rebar missing Person (6) entirely; helmet, vest, boots labeled","3 boxes (person:1, helmet:1, vest:1)",WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/test/image810_qa.jpg,PENDING_HUMAN_QA,
image825.jpg,test,train,grp_lobby_tryon,missing_annotation,person,Man trying on PPE in mirror missing Person (6) entirely; cross-split leak to test,"3 boxes (person:1, helmet:1, vest:1)",WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/train/image825_qa.jpg,PENDING_HUMAN_QA,
image834.jpg,test,train,grp_lobby_tryon,missing_annotation,person,Showroom lobby try-on sequence frame missing Person (6) entirely,"3 boxes (person:1, helmet:1, vest:1)",WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/train/image834_qa.jpg,PENDING_HUMAN_QA,
image846.jpg,test,val,grp_vietnam_road,missing_annotation,person,Road worker with timestamp overlay missing Person (6) entirely; cross-split leak to test,"3 boxes (person:1, helmet:1, vest:1)",WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/val/image846_qa.jpg,PENDING_HUMAN_QA,
image100.jpg,train,train,grp_china_police_inspection,misclassified; unboxed_object,helmet; vest,Police peaked service visor cap mislabeled as industrial helmet (0); Police officer wearing visible reflective safety vest; vest is unboxed,"8 boxes (person:4, helmet:3, vest:1)",WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/train/image100_qa.jpg,PENDING_HUMAN_QA,
image1008.jpeg,train,test,grp_cinderblock_masonry,unboxed_object,person,Foreground worker labeled; 2 background workers with PPE completely unboxed,"9 boxes (person:3, helmet:3, vest:3)",WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/test/image1008_qa.jpg,PENDING_HUMAN_QA,
image109.jpg,train,train,grp_scene_0109,unboxed_object,person,Foreground workers labeled; background workers partially unboxed,"13 boxes (person:5, helmet:3, vest:5)",WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/train/image109_qa.jpg,PENDING_HUMAN_QA,
image1169.jpg,train,train,grp_negatives_1117_1356,missing_annotation,person,Fashion model in knit sweater missing Person (6) entirely; annotated only with negative classes,1 boxes (person:1),WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/train/image1169_qa.jpg,PENDING_HUMAN_QA,
image1171.jpg,train,train,grp_negatives_1117_1356,missing_annotation,person,Young man in baseball cap & t-shirt missing Person (6) entirely; negative torso labeled,1 boxes (person:1),WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/train/image1171_qa.jpg,PENDING_HUMAN_QA,
image1357.jpg,train,val,grp_negatives_1357_1386,misclassified,helmet,Aerodynamic bicycle racing helmets mislabeled as industrial helmet (class 0),3 boxes (person:3),WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/val/image1357_qa.jpg,PENDING_HUMAN_QA,
image1378.jpg,train,val,grp_negatives_1357_1386,missing_annotation,person,Negative everyday portrait scene frame missing Person (6) entirely,1 boxes (person:1),WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/val/image1378_qa.jpg,PENDING_HUMAN_QA,
image3.jpeg,train,train,grp_scene_0003,misclassified,helmet,Soft fabric bucket hat mislabeled as industrial helmet (class 0),"2 boxes (person:1, vest:1)",WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/train/image3_qa.jpg,PENDING_HUMAN_QA,
image4.jpg,train,train,grp_scene_0004,unboxed_object,vest,Worker in hi-vis vest; vest is unboxed (missing class 2),"4 boxes (person:2, helmet:1, vest:1)",WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/train/image4_qa.jpg,PENDING_HUMAN_QA,
image472.jpg,train,train,grp_scene_0472,missing_annotation,person,Machine-detected zero Person label,"3 boxes (person:1, helmet:1, vest:1)",WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/train/image472_qa.jpg,PENDING_HUMAN_QA,
image475.jpg,train,train,grp_scene_0475,missing_annotation,person,Machine-detected zero Person label,"2 boxes (person:1, vest:1)",WORKER_VISUAL_QA_VERIFIED,data/processed/construction_ppe_corrected/qa_overlays/train/image475_qa.jpg,PENDING_HUMAN_QA,
