relative_image_path,source_split,group_id,issue_type,canonical_class,evidence,required_human_action,verification_status,severity
images/val/image23.jpeg,val,grp_utility_wiring,missing_annotation,person,"3 visible utility technicians on street/ladder missing Person (6) entirely; vests labeled","Add bounding boxes for all 3 visible technicians (class 6)",WORKER_VISUAL_QA_VERIFIED,critical
images/val/image808.jpg,val,grp_hardhat_impact_booth,missing_annotation,person,"3 figures in hardhat impact booth missing Person (6) entirely; helmets and vests labeled","Add bounding boxes for all 3 visible figures (class 6)",WORKER_VISUAL_QA_VERIFIED,critical
images/val/image824.jpg,val,grp_lobby_tryon,missing_annotation,person,"Man trying on PPE in mirror missing Person (6) entirely; cross-split leak to val","Add bounding box for visible person in showroom mirror (class 6)",WORKER_VISUAL_QA_VERIFIED,critical
images/val/image826.jpg,val,grp_lobby_tryon,missing_annotation,person,"Showroom lobby try-on sequence frame missing Person (6) entirely","Add bounding box for visible person in showroom mirror (class 6)",WORKER_VISUAL_QA_VERIFIED,critical
images/test/image502.jpg,test,grp_rooftop_a,missing_annotation,person,"Rooftop worker rotated diagonally missing Person (6) entirely; helmet, vest, boots labeled","Add bounding box for visible rooftop worker (class 6)",WORKER_VISUAL_QA_VERIFIED,critical
images/test/image538.jpg,test,grp_russian_railway,missing_annotation,person,"5 railway trainees dancing outdoors missing Person (6) entirely; vests and helmets labeled","Add bounding boxes for all 5 visible railway trainees (class 6)",WORKER_VISUAL_QA_VERIFIED,critical
images/test/image714.jpeg,test,grp_scene_0714,missing_annotation,person,"Worker cutting aluminum framing missing Person (6) entirely; vest labeled","Add bounding box for visible worker cutting framing (class 6)",WORKER_VISUAL_QA_VERIFIED,critical
images/test/image805.jpg,test,grp_deck_workers,missing_annotation,person,"2 concrete workers on deck missing Person (6) entirely","Add bounding boxes for both visible concrete workers (class 6)",WORKER_VISUAL_QA_VERIFIED,critical
images/test/image810.jpg,test,grp_rebar_work,missing_annotation,person,"Ironworker bending over rebar missing Person (6) entirely; helmet, vest, boots labeled","Add bounding box for visible ironworker (class 6)",WORKER_VISUAL_QA_VERIFIED,critical
images/test/image825.jpg,test,grp_lobby_tryon,missing_annotation,person,"Man trying on PPE in mirror missing Person (6) entirely; cross-split leak to test","Add bounding box for visible person in showroom mirror (class 6)",WORKER_VISUAL_QA_VERIFIED,critical
images/test/image834.jpg,test,grp_lobby_tryon,missing_annotation,person,"Showroom lobby try-on sequence frame missing Person (6) entirely","Add bounding box for visible person in showroom mirror (class 6)",WORKER_VISUAL_QA_VERIFIED,critical
images/test/image846.jpg,test,grp_vietnam_road,missing_annotation,person,"Road worker with timestamp overlay missing Person (6) entirely; cross-split leak to test","Add bounding box for visible road worker (class 6)",WORKER_VISUAL_QA_VERIFIED,critical
images/train/image820.jpg,train,grp_lobby_tryon,missing_annotation,person,"Man trying on PPE in mirror missing Person (6) entirely; helmet and vest labeled","Add bounding box for visible person in showroom mirror (class 6)",WORKER_VISUAL_QA_VERIFIED,critical
images/train/image821.jpg,train,grp_lobby_tryon,missing_annotation,person,"Showroom lobby try-on sequence frame missing Person (6) entirely","Add bounding box for visible person in showroom mirror (class 6)",WORKER_VISUAL_QA_VERIFIED,critical
images/train/image822.jpg,train,grp_lobby_tryon,missing_annotation,person,"Showroom lobby try-on sequence frame missing Person (6) entirely","Add bounding box for visible person in showroom mirror (class 6)",WORKER_VISUAL_QA_VERIFIED,critical
